timestamp_utc	requests_processing	prompt_tps	predicted_tps	prompt_tokens_total	tokens_predicted_total
2026-08-24T09:46:42Z	12	1894.667	348.500	3957006	479558
2026-08-24T09:46:47Z	11	1079.200	3564.800	3962402	497382
2026-08-24T09:46:52Z	12	4840.600	427.400	3986605	499519
2026-08-24T09:46:57Z	11	4609.000	1098.800	4009650	505013
2026-08-24T09:47:02Z	11	4272.000	543.200	4031010	507729
2026-08-24T09:47:07Z	10	1244.400	192.200	4037232	508690
2026-08-24T09:47:12Z	11	5878.400	2819.000	4066624	522785
2026-08-24T09:47:17Z	11	8645.200	418.400	4109850	524877
2026-08-24T09:47:22Z	11	2945.400	626.200	4124577	528008
2026-08-24T09:47:27Z	12	2241.800	646.200	4135786	531239
2026-08-24T09:47:32Z	11	3294.600	633.800	4152259	534408
2026-08-24T09:47:37Z	12	1289.400	156.400	4158706	535190
2026-08-24T09:47:42Z	11	10378.600	943.400	4210599	539907
2026-08-24T09:47:47Z	10	2768.200	473.200	4224440	542273
2026-08-24T09:47:52Z	12	3045.000	329.800	4239665	543922
2026-08-24T09:47:57Z	10	7716.600	3050.800	4278248	559176
2026-08-24T09:48:02Z	11	6233.200	1069.800	4309414	564525
2026-08-24T09:48:08Z	12	4029.167	607.167	4333589	568168
2026-08-24T09:48:13Z	12	314.400	166.800	4335161	569002
2026-08-24T09:48:18Z	12	1737.400	2731.800	4343848	582661
2026-08-24T09:48:23Z	12	3851.400	291.000	4363105	584116
2026-08-24T09:48:28Z	11	1834.200	1076.600	4372276	589499
2026-08-24T09:48:33Z	11	3453.200	356.800	4389542	591283
2026-08-24T09:48:38Z	12	2111.400	736.400	4400099	594965
2026-08-24T09:48:43Z	12	3711.000	680.600	4418654	598368
2026-08-24T09:48:48Z	12	755.000	891.600	4422429	602826
2026-08-24T09:48:53Z	12	0.000	0.000	4422429	602826
2026-08-24T09:48:58Z	12	4422.600	1399.400	4444542	609823
2026-08-24T09:49:03Z	12	4018.800	434.800	4464636	611997
2026-08-24T09:49:08Z	11	10141.000	2433.200	4515341	624163
2026-08-24T09:49:13Z	11	1956.200	1420.400	4525122	631265
2026-08-24T09:49:18Z	12	5264.200	93.600	4551443	631733
