timestamp_utc	requests_processing	prompt_tps	predicted_tps	prompt_tokens_total	tokens_predicted_total
2026-08-24T08:14:49Z	10	2092.200	416.200	3810493	611153
2026-08-24T08:14:54Z	9	3006.400	546.600	3825525	613886
2026-08-24T08:14:59Z	7	6903.000	346.400	3860040	615618
2026-08-24T08:15:04Z	7	1931.200	1128.000	3869696	621258
2026-08-24T08:15:09Z	7	4832.200	222.800	3893857	622372
2026-08-24T08:15:14Z	7	7918.600	218.000	3933450	623462
2026-08-24T08:15:19Z	6	4512.200	100.000	3956011	623962
2026-08-24T08:15:24Z	6	2372.400	424.200	3967873	626083
2026-08-24T08:15:29Z	6	1894.200	111.200	3977344	626639
2026-08-24T08:15:34Z	6	2749.600	76.000	3991092	627019
2026-08-24T08:15:39Z	6	711.400	66.400	3994649	627351
2026-08-24T08:15:44Z	5	2012.400	103.400	4004711	627868
2026-08-24T08:15:49Z	5	0.000	0.000	4004711	627868
2026-08-24T08:15:55Z	5	0.000	0.000	4004711	627868
2026-08-24T08:16:00Z	5	0.000	0.000	4004711	627868
2026-08-24T08:16:05Z	5	0.000	0.000	4004711	627868
2026-08-24T08:16:10Z	5	3918.200	1880.200	4024302	637269
2026-08-24T08:16:15Z	4	5548.200	96.800	4052043	637753
2026-08-24T08:16:20Z	5	0.000	0.000	4052043	637753
2026-08-24T08:16:25Z	5	0.000	0.000	4052043	637753
2026-08-24T08:16:30Z	5	0.000	0.000	4052043	637753
2026-08-24T08:16:35Z	5	6159.800	274.600	4082842	639126
2026-08-24T08:16:40Z	5	5548.200	71.200	4110583	639482
2026-08-24T08:16:45Z	6	0.000	0.000	4110583	639482
2026-08-24T08:16:50Z	5	0.000	0.000	4110583	639482
2026-08-24T08:16:55Z	4	7144.000	369.600	4146303	641330
2026-08-24T08:17:00Z	3	6107.200	89.000	4176839	641775
2026-08-24T08:17:05Z	3	0.000	0.000	4176839	641775
2026-08-24T08:17:10Z	3	0.000	0.000	4176839	641775
2026-08-24T08:17:15Z	3	0.000	0.000	4176839	641775
2026-08-24T08:17:20Z	3	364.600	335.800	4178662	643454
2026-08-24T08:17:26Z	3	0.000	0.000	4178662	643454
2026-08-24T08:17:31Z	3	0.000	0.000	4178662	643454
2026-08-24T08:17:36Z	3	0.000	0.000	4178662	643454
2026-08-24T08:17:41Z	3	0.000	0.000	4178662	643454
2026-08-24T08:17:46Z	3	0.000	0.000	4178662	643454
2026-08-24T08:17:51Z	2	1034.600	582.400	4183835	646366
2026-08-24T08:17:56Z	2	0.000	0.000	4183835	646366
2026-08-24T08:18:01Z	2	0.000	0.000	4183835	646366
2026-08-24T08:18:06Z	2	0.000	0.000	4183835	646366
2026-08-24T08:18:11Z	2	0.000	0.000	4183835	646366
2026-08-24T08:18:16Z	2	0.000	0.000	4183835	646366
2026-08-24T08:18:21Z	2	0.000	0.000	4183835	646366
2026-08-24T08:18:26Z	2	0.000	0.000	4183835	646366
2026-08-24T08:18:31Z	2	0.000	0.000	4183835	646366
2026-08-24T08:18:36Z	2	0.000	0.000	4183835	646366
